Accession,award.rfa,award.pi.title,,Target label,Target gene,Biosample summary,Biosample,Lab,Project,Species,Biosample type,Date released,Month released,Assay category,Assay Type,Assay name,Assay sub-class
ENCSR275JFN,ENCODE3,Brenton Graveley,,SRSF2,SRSF2,,,"Chris Burge, MIT",ENCODE,,in vitro sample,8/18/15,"August, 2015",RNA binding,RNA Bind-n-Seq,RNA Bind-n-Seq,RNA binding protein
ENCSR513MGG,ENCODE3,Michael Snyder,,eGFP-ZNF302,ZNF302,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,12/19/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EMD,ENCODE2,John Stamatoyannopoulos,,,,BE2C,BE2C,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,5/4/11,"May, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR727PIC,ENCODE3,Michael Snyder,,eGFP-ZNF34,ZNF34,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,3/7/17,"March, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR164BAZ,ENCODE2-Mouse,Michael Snyder,,,,C57BL/6 heart female adult (10 weeks),heart,"Michael Snyder, Stanford",ENCODE,Mus musculus,tissue,12/8/14,"December, 2014",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000BPW,ENCODE2,Richard Myers,,EP300,EP300,A549 treated with ethanol,A549,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,2/29/12,"February, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR914QOK,ENCODE3,Bradley Bernstein,,H3K27me3,HIST2H3C,SK-N-SH,SK-N-SH,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/19/16,"July, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR481YWD,ENCODE3,Michael Snyder,,SMC3,SMC3,A549,A549,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/31/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR477TRN,ENCODE3,Brenton Graveley,,FUS,FUS,K562,K562,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,7/15/15,"July, 2015",RNA binding,iCLIP,iCLIP,RNA binding protein
ENCSR000FDI,ENCODE3,John Stamatoyannopoulos,,,,HT1080,HT1080,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,3/31/15,"March, 2015",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR094KBY,ENCODE3,Brenton Graveley,,SRSF1,SRSF1,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,10/16/14,"October, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR038GMB,ENCODE3,Richard Myers,,GABPA,GABPA,liver male adult (32 years),liver,"Richard Myers, HAIB",ENCODE,Homo sapiens,tissue,6/30/16,"June, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR113LFZ,ENCODE3,Bradley Bernstein,,H3K27me3,HIST2H3C,mid-neurogenesis radial glial cells genetically modified using stable transfection originated from H9,mid-neurogenesis radial glial cells,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,in vitro differentiated cells,5/20/16,"May, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DIW,ENCODE2-Mouse,Ross Hardison,,H3K4me3,Hist2h3c1,129 G1E-ER4 treated with 17β-estradiol,G1E-ER4,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,4/30/12,"April, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ENE,ENCODE2,John Stamatoyannopoulos,,,,brain microvascular endothelial cell,brain microvascular endothelial cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,12/16/10,"December, 2010",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000EDO,ENCODE2,Michael Snyder,,CEBPZ,CEBPZ,HepG2,HepG2,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000MMZ,ENCODE3,Richard Myers,,EP300,EP300,upper lobe of left lung female adult (51 year),upper lobe of left lung,"Richard Myers, HAIB",ENCODE,Homo sapiens,tissue,6/15/17,"June, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR328LLU,ENCODE3,Brenton Graveley,,U2AF1,U2AF1,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,11/9/15,"November, 2015",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR893MYW,ENCODE3,Richard Myers,,POLR2AphosphoS5,POLR2A,upper lobe of left lung female adult (51 year),upper lobe of left lung,"Richard Myers, HAIB",ENCODE,Homo sapiens,tissue,10/31/17,"October, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR490IEE,ENCODE3,Brenton Graveley,,UCHL5,UCHL5,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,4/26/16,"April, 2016",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR362VNF,ENCODE2-Mouse,Ross Hardison,,CTCF,Ctcf,129 E14TG2a.4,E14TG2a.4,"Ross Hardison, PennState",ENCODE,Mus musculus,stem cell,2/24/14,"February, 2014",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CZP,ENCODE2,John Stamatoyannopoulos,,,,fibroblast of lung,fibroblast of lung,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,4/1/11,"April, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR000EBV,ENCODE2,Michael Snyder,,CEBPB,CEBPB,H1-hESC,H1-hESC,"Michael Snyder, Stanford",ENCODE,Homo sapiens,stem cell,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR841EQA,ENCODE3,Brenton Graveley,,TAF15,TAF15,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,11/9/15,"November, 2015",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR306IOF,ENCODE3,Brenton Graveley,,PARN,PARN,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,8/18/15,"August, 2015",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR219DXZ,ENCODE3,Brenton Graveley,,SBDS,SBDS,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,1/12/16,"January, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR994NPK,ENCODE3,Bradley Bernstein,,H3K36me3,HIST2H3C,cardiac muscle cell,cardiac muscle cell,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,in vitro differentiated cells,11/12/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR443UYU,ENCODE3,Bradley Bernstein,,H3K27ac,HIST2H3C,coronary artery female adult (53 years),coronary artery,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,11/3/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR828CCQ,ENCODE4,Bradley Bernstein,,H3K4me3,HIST2H3C,ovary female adult (53 years),ovary,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,8/28/17,"August, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR849STR,ENCODE3,Brenton Graveley,,MAGOH,MAGOH,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,10/16/14,"October, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR909UAG,ENCODE3,Bradley Bernstein,,H3K27ac,HIST2H3C,esophagus squamous epithelium female adult (53 years),esophagus squamous epithelium,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,11/7/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR224QDY,ENCODE3,Michael Snyder,,eGFP-ZNF121,ZNF121,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/25/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR379VXW,ENCODE3,Brenton Graveley,,FKBP4,FKBP4,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,8/18/15,"August, 2015",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR350XWY,ENCODE3,Michael Snyder,,C11orf30,C11orf30,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,9/20/16,"September, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BCV,ENCODE2,Thomas Gingeras,,,,SK-N-SH,SK-N-SH,"Yijun Ruan, JAX",ENCODE,Homo sapiens,immortalized cell line,8/14/12,"August, 2012",Transcription,RNA-PET,RNA-PET,RNA-PET
ENCSR769AEI,ENCODE3,Brenton Graveley,,PCBP4,PCBP4,,,"Chris Burge, MIT",ENCODE,,in vitro sample,10/31/16,"October, 2016",RNA binding,RNA Bind-n-Seq,RNA Bind-n-Seq,RNA binding protein
ENCSR000CYM,ENCODE2,John Stamatoyannopoulos,,,,WERI-Rb-1,WERI-Rb-1,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,1/4/12,"January, 2012",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR503HIB,ENCODE3,John Stamatoyannopoulos,,,,cerebellar cortex male adult (78 years) and male adult (84 years),cerebellar cortex,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,tissue,8/31/15,"August, 2015",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR096LSN,ENCODE3,Michael Snyder,,eGFP-ZNF311,ZNF311,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,4/6/17,"April, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CYD,ENCODE2,Job Dekker,,,,GM12878,GM12878,"Job Dekker, UMass",ENCODE,Homo sapiens,immortalized cell line,3/22/12,"March, 2012",3D chromatin structure,5C,5C,5C
ENCSR836WAX,ENCODE3,Thomas Gingeras,,,,Karpas-422,Karpas-422,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,11/20/14,"November, 2014",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR000DBE,ENCODE2,John Stamatoyannopoulos,,,,endothelial cell of umbilical vein male newborn and newborn,endothelial cell of umbilical vein,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,4/1/11,"April, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR658TDS,ENCODE3,Bing Ren,,H3K4me2,Hist2h3c1,C57BL/6 kidney embryo (14.5 days),kidney,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CSH,ENCODE2,Thomas Gingeras,,,,SK-N-SH cytosolic fraction,SK-N-SH,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,7/9/12,"July, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR000DBL,ENCODE2,John Stamatoyannopoulos,,,,HepG2,HepG2,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,4/1/11,"April, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR165BGV,ENCODE3,John Stamatoyannopoulos,,,,K562 genetically modified using TALEN,K562,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,11/2/16,"November, 2016",DNA accessibility,genetic modification followed by DNase-seq,genetic modification DNase-seq,genetic modification DNase-seq
ENCSR064EFK,ENCODE3,John Stamatoyannopoulos,,,,K562,K562,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,7/14/16,"July, 2016",DNA accessibility,genetic modification followed by DNase-seq,genetic modification DNase-seq,genetic modification DNase-seq
ENCSR580LHO,ENCODE3,Richard Myers,,,,transverse colon male adult (37 years),transverse colon,"Richard Myers, HAIB",ENCODE,Homo sapiens,tissue,6/15/17,"June, 2017",DNA methylation,DNA methylation profiling by array assay,DNAme array,DNAme array
ENCSR318HAT,ENCODE3,Brenton Graveley,,RBM34,RBM34,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,11/20/14,"November, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000DYG,ENCODE2,Michael Snyder,,MAX,MAX,A549,A549,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR504VDV,ENCODE3,Michael Snyder,,eGFP-ZNF654,ZNF654,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/7/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BIS,ENCODE2,Richard Myers,,SIN3A,SIN3A,H1-hESC,H1-hESC,"Richard Myers, HAIB",ENCODE,Homo sapiens,stem cell,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR228DTL,ENCODE3,Bradley Bernstein,,CHD1,CHD1,GM12878,GM12878,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,1/8/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR886IHN,ENCODE3,Bing Ren,,H3K4me1,Hist2h3c1,C57BL/6 heart embryo (11.5 days),heart,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR009TKN,ENCODE3,Michael Snyder,,RCOR1,RCOR1,SK-N-SH,SK-N-SH,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,6/15/17,"June, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR900XDB,ENCODE3,Michael Snyder,,ZFP36,ZFP36,GM12878,GM12878,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,7/7/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR531RZS,ENCODE3,Bing Ren,,H3K27ac,Hist2h3c1,C57BL/6 neural tube embryo (11.5 days),neural tube,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR757EMK,ENCODE3,Michael Snyder,,SUZ12,SUZ12,MCF-7,MCF-7,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,5/17/17,"May, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR082AKW,ENCODE3,Brenton Graveley,,ESRP1,ESRP1,,,"Chris Burge, MIT",ENCODE,,in vitro sample,12/17/14,"December, 2014",RNA binding,RNA Bind-n-Seq,RNA Bind-n-Seq,RNA binding protein
ENCSR005WWZ,ENCODE3,Bradley Bernstein,,H3K9me3,HIST2H3C,B cell female adult (43 years),B cell,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,1/10/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR755TJC,ENCODE3,Brenton Graveley,,HNRNPUL1,HNRNPUL1,HepG2,HepG2,"Gene Yeo, UCSD",ENCODE,Homo sapiens,immortalized cell line,11/9/15,"November, 2015",RNA binding,eCLIP,eCLIP,RNA binding protein
ENCSR835YBD,ENCODE3,Bradley Bernstein,,H3K36me3,HIST2H3C,KMS-11,KMS-11,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,1/23/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR156UQO,ENCODE3,Michael Snyder,,POLR2A,POLR2A,esophagus squamous epithelium male adult (37 years),esophagus squamous epithelium,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,3/20/17,"March, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BWB,ENCODE2,Richard Myers,,,,adrenal gland female adult (88 years),adrenal gland,"Richard Myers, HAIB",ENCODE,Homo sapiens,tissue,10/19/11,"October, 2011",DNA methylation,DNA methylation profiling by array assay,DNAme array,DNAme array
ENCSR189AGR,ENCODE3,Bradley Bernstein,,H3K9me3,HIST2H3C,OCI-LY1,OCI-LY1,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EYR,ENCODE2,Richard Myers,,,,HepG2,HepG2,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,1/17/12,"January, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR790EDQ,ENCODE3,Bradley Bernstein,,H3K4me2,HIST2H3C,OCI-LY1,OCI-LY1,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR064DGY,ENCODE3,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 stomach embryo (14.5 days),stomach,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR734GST,ENCODE3,Bing Ren,,,,C57BL/6 hindbrain embryo (13.5 days),hindbrain,"Joe Ecker, Salk",ENCODE,Mus musculus,tissue,8/18/15,"August, 2015",DNA methylation,whole-genome shotgun bisulfite sequencing,WGBS,WGBS
ENCSR000BMO,ENCODE2,Richard Myers,,FOXA1,FOXA1,HepG2,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EPE,ENCODE2,John Stamatoyannopoulos,,,,LHCN-M2,LHCN-M2,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,6/12/12,"June, 2012",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR643VTW,ENCODE3,Michael Snyder,,SMARCA4,SMARCA4,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/31/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CRF,ENCODE2,Thomas Gingeras,,,,K562,K562,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,11/17/10,"November, 2010",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR405VBY,ENCODE3,Bradley Bernstein,,CBX3,CBX3,K562,K562,"John Rinn, Broad",ENCODE,Homo sapiens,immortalized cell line,5/4/16,"May, 2016",RNA binding,RIP-seq,RIP-seq,RNA binding protein
ENCSR889MYY,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 liver embryo (15.5 days),liver,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,11/3/15,"November, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR386HAZ,ENCODE3,Michael Snyder,,,,transverse colon female adult (51 year),transverse colon,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,6/15/16,"June, 2016",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR761TKU,ENCODE3,Michael Snyder,,,,transverse colon male adult (54 years),transverse colon,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,6/15/16,"June, 2016",DNA accessibility,ATAC-seq,ATAC-seq,ATAC-seq
ENCSR641EME,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 heart embryo (14.5 days),heart,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR776QRL,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 neural tube embryo (14.5 days),neural tube,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR907JPB,ENCODE3,Michael Snyder,,ZMIZ1,ZMIZ1,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,8/24/16,"August, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR267YXV,ENCODE3,Bradley Bernstein,,H3K27ac,HIST2H3C,neutrophil,neutrophil,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,11/16/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EHR,ENCODE2,Michael Snyder,,MYC,MYC,NB4,NB4,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR373WCB,ENCODE3,Bradley Bernstein,,H3K36me3,HIST2H3C,neutrophil,neutrophil,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,3/13/17,"March, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR141ZVB,ENCODE3,Bing Ren,,,,C57BL/6 forebrain embryo (13.5 days),forebrain,"Joe Ecker, Salk",ENCODE,Mus musculus,tissue,8/18/15,"August, 2015",DNA methylation,whole-genome shotgun bisulfite sequencing,WGBS,WGBS
ENCSR000CKS,ENCODE2,Thomas Gingeras,,,,IMR-90 nuclear fraction female embryo (16 weeks),IMR-90,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,primary cell,5/2/12,"May, 2012",Transcription,RNA-seq,CAGE,CAGE
ENCSR950ACO,ENCODE3,Michael Snyder,,eGFP-ZNF785,ZNF785,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,12/19/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR264COY,ENCODE3,Thomas Gingeras,,,,adrenal gland female adult (53 years),adrenal gland,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,5/23/16,"May, 2016",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR653DFZ,ENCODE3,Thomas Gingeras,,,,G401,G401,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,11/20/14,"November, 2014",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR997TXZ,ENCODE3,John Stamatoyannopoulos,,,,K562 genetically modified using TALEN,K562,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,7/14/16,"July, 2016",DNA accessibility,genetic modification followed by DNase-seq,genetic modification DNase-seq,genetic modification DNase-seq
ENCSR377QMP,ENCODE3,Bradley Bernstein,,H3F3A,H3F3A,fibroblast of arm male adult (53 years),fibroblast of arm,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,11/5/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DTN,ENCODE2,John Stamatoyannopoulos,,H3K4me3,HIST2H3C,choroid plexus epithelial cell,choroid plexus epithelial cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,2/11/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DZC,ENCODE2,Michael Snyder,,RCOR1,RCOR1,GM12878,GM12878,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR946JEA,ENCODE3,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 stomach embryo (16.5 days),stomach,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,12/17/14,"December, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR620QNS,ENCODE3,John Stamatoyannopoulos,,,,HAP-1,HAP-1,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,5/11/16,"May, 2016",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR969NXN,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 lung embryo (16.5 days),lung,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,12/17/14,"December, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR591CCL,ENCODE3,Michael Snyder,,eGFP-ZNF512,ZNF512,K562 genetically modified using stable transfection,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,8/24/16,"August, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DVS,ENCODE2,John Stamatoyannopoulos,,H3K4me3,HIST2H3C,fibroblast of villous mesenchyme,fibroblast of villous mesenchyme,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,2/11/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR265MJJ,ENCODE3,Bradley Bernstein,,CBX8,CBX8,GM12878,GM12878,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,11/24/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CFK,ENCODE2-Mouse,Bing Ren,,POLR2A,Polr2a,C57BL/6 bone marrow macrophage male adult (8 weeks),bone marrow macrophage,"Bing Ren, UCSD",ENCODE,Mus musculus,primary cell,4/13/12,"April, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR650SEP,ENCODE3,Richard Myers,,,,HCT116,HCT116,"Ali Mortazavi, UCI",ENCODE,Homo sapiens,immortalized cell line,2/4/16,"February, 2016",Transcription,RNA-seq,microRNA-seq,microRNA-seq
ENCSR000ETV,ENCODE2-Mouse,Michael Snyder,,EP300,Ep300,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,2/7/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR258AED,ENCODE3,Bing Ren,,H3K4me1,Hist2h3c1,C57BL/6 embryonic facial prominence embryo (13.5 days),embryonic facial prominence,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/23/15,"June, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
